institution,org_name,country,region,email,website,instagram,discord,confidence,notes
University of Waterloo,UW MSA,Canada,Ontario,,https://uwmsa.com,https://instagram.com/uwmsa,https://discord.gg/nQZtrhxJsX,confirmed,Public Discord listed on their own Linktree. Also a WhatsApp community. No public email; contact via IG or Discord.
Carleton University,CUMSA,Canada,Ontario,,https://cumsa.ca,,https://discord.com/invite/uVmpsVNauU,confirmed,"Official CUMSA Discord, ~1.2k members. Site returned 403 to automated fetch; Discord and Facebook (facebook.com/CarletonMSA) are live."
McGill University,MSA McGill,Canada,Quebec,,https://linktr.ee/msamcgill,https://instagram.com/msamcgill,https://discord.gg/jEtmHXQf,confirmed,Discord + WhatsApp community both on their Linktree.
University of Alberta,MSA UAlberta,Canada,Alberta,,http://msauofa.weebly.com,,https://discord.com/invite/QRZmXvy,confirmed,"Discord ~1.2k members. Website has a contact form only, no listed email."
University of Toronto (St. George),UofT MSA,Canada,Ontario,,https://www.uoftmsa.com,https://instagram.com/uoftmsa,,partial,"Oldest MSA in Canada, 1500+ members. msa@utoronto.ca BOUNCED 2026-09-20: 550 5.4.1 Access denied from Exchange Online, the list only accepts mail from inside utoronto.ca. External email cannot reach it. Use the contact form or per-exec office hours at uoftmsa.com/contact-us.html, or IG @uoftmsa."
University of Toronto Mississauga,UTM MSA,Canada,Ontario,msa@utmsu.ca,http://utmmsa.org,https://instagram.com/utmmsa,,confirmed,
University of Guelph,Guelph MSA,Canada,Ontario,msa@uoguelph.ca,https://www.uogmsa.com,https://instagram.com/guelphmsa,,confirmed,Also https://linktr.ee/msauoguelph
Seneca Polytechnic,Seneca MSA,Canada,Ontario,senecamsaofficial@gmail.com,https://clubs.ssfinc.ca/msa/,https://instagram.com/senecamsa,,confirmed,Newnham campus.
University of British Columbia,MSA UBC,Canada,BC,askmsaubc@gmail.com,https://msaubc.org,https://instagram.com/msaubc,,confirmed,WhatsApp community instead of Discord.
Simon Fraser University,SFU MSA,Canada,BC,,https://sfumsa.ca,https://instagram.com/sfu_msa,,lead-only,"contact-msa@sfu.ca BOUNCED 2026-09-20: 550 5.1.1 user unknown. The SFSS club directory still lists it but the address is gone. sfumsa.ca and IG @sfu_msa are live. sfumsa@hotmail.com appears in older listings, unverified."
Concordia University,MSA Concordia,Canada,Quebec,,https://linktr.ee/msaconcordia,,,lead-only,"external@msaconcordia.ca BOUNCED 2026-09-20: NXDOMAIN, the msaconcordia.ca domain has lapsed entirely. They run on Facebook (facebook.com/msaconcordia) and linktr.ee/msaconcordia now. No working email found."
